"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3","3","C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"2","D1","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"3","D2","1","LED","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",""
"4","J1, J2","2","Conn_01x20_Socket","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"5","J3","1","Barrel_Jack_Switch","0-local:BARREL_JACK",""
"6","J4","1","Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal",""
"7","J5","1","Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Horizontal",""
"8","J6, J7","2","Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"9","R1, R2","2","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"10","R3","1","1.5k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"11","SW1","1","SW_SPDT","0-local:PowerSW_for_SBC_series",""
"12","SW2","1","SW_SPST","0-local:SW_PUSH_6mm_H4.3mm",""
"13","U1","1","PIC18F57Q43-IPT","0-local:Quad-2x6",""
"14","U2","1","HM678127_SOJ32_Arranged","Package_SO:TSOP-II-32_21.0x10.2mm_P1.27mm",""
